Connector Code,Connector Id(15),Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
HFFC-000004,aAZ90000000005B,,,1,2,,,,,,,,,,,,,,,,,,,,
HFFC-000005,aAZ90000000005c,2,,,4,1,3,,1,1,,,,1,1,,1,1,2,,3,,,,
HFFC-000008,aAZ90000000005F,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000010,aAZ90000000005H,,1,,4,,,,,3,,,,,,,,,,,,,4,3,
HFFC-000021,aAZ90000000005s,1,,,,,3,,,,,,1,,,,,,,,1,1,1,,
HFFC-000022,aAZ90000000005t,,,,,,,,,,,,2,,,,,,,,,,,,
HFFC-000027,aAZ90000000005Y,,,13,11,,,,,2,,,,,,,,,,,,,,,
HFFC-000031,aAZ90000000005c,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-000045,aAZ90000000005q,2,5,2,1,5,3,6,1,6,,1,2,2,3,2,1,,2,,,2,4,1,1
HFFC-000046,aAZ90000000005r,,2,1,1,,,1,1,,1,,1,,2,,,,,,,,,1,2
HFFC-000047,aAZ90000000005s,,,,,2,,,,,,,,,,,,,,,,,,,
HFFC-000048,aAZ90000000005t,1,,2,5,2,2,,1,3,1,2,1,,2,,1,,,,,,,,
HFFC-000060,aAZ900000000065,,,,1,,,1,,,1,1,,2,,1,1,,3,1,,,,6,6
HFFC-000061,aAZ900000000066,,,,,,,,,,,,,,,,1,,,,,,,,
HFFC-000062,aAZ900000000067,1,2,1,,,,,,,,,,,1,,,,,,,,,,
HFFC-000066,aAZ90000000006B,1,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-000067,aAZ90000000006C,,,,,,,2,1,,,3,,,1,2,1,1,,,,,,,3
HFFC-000069,aAZ90000000006E,,,,1,,1,,,,1,2,1,2,,1,,,1,,,,,,
HFFC-000074,aAZ90000000008F,2,5,4,1,,3,2,2,,,2,5,4,8,6,2,1,1,,,1,4,2,3
HFFC-000075,aAZ90000000008G,,3,1,4,,1,,1,,,1,1,,,,1,,,,1,,1,,
HFFC-000076,aAZ90000000008H,,3,,2,,,4,1,,,,,,,,,,1,,,,,2,
HFFC-000078,aAZ90000000008J,,,,2,1,1,,,,,,,,1,,1,,,,,,,,
HFFC-000080,aAZ90000000008L,,,,,,1,3,4,,1,,,,,,,,,,,1,1,,6
HFFC-000082,aAZ90000000008N,10,6,7,9,,1,4,3,2,1,3,2,1,,,,,,1,3,8,3,4,3
HFFC-000086,aAZ90000000008R,4,,1,,2,,2,,1,,,1,3,,2,1,,1,1,2,1,1,1,1
HFFC-000091,aAZ90000000008W,7,3,5,4,3,,2,9,10,4,9,8,8,7,8,8,7,9,5,6,5,5,5,11
HFFC-000092,aAZ90000000008X,,,2,3,4,4,2,4,3,2,3,1,3,3,1,3,5,3,2,7,1,2,4,3
HFFC-000093,aAZ90000000008Y,,,,,,,1,,,,,,,,,,,,,,,,,
HFFC-000095,aAZ90000000008a,10,7,2,2,5,2,13,3,,2,5,4,7,3,4,6,,1,,,4,,,
HFFC-000096,aAZ90000000008b,,,,,,,1,,2,,,,2,,,,,,,,,,,
HFFC-000128,aAZ9000000000cH,,,2,,,,,2,,,5,,,,2,2,1,2,,4,3,1,1,
HFFC-000130,aAZ9000000000CJ,3,4,6,5,4,,3,5,7,2,7,7,4,7,2,2,5,9,4,3,5,10,5,3
HFFC-000135,aAZ9000000000CO,12,5,17,5,2,2,9,1,4,2,1,,,,,,,,,,,,,
HFFC-000136,aAZ9000000000CP,,,1,,,1,,,,,,,,,,,,,,,,,,
HFFC-000138,aAZ9000000000Cr,1,7,5,8,2,1,,3,3,,,,1,3,1,,,,,,,,,
HFFC-000142,aAZ9000000000CV,5,3,4,3,1,2,6,3,3,5,3,1,3,,2,1,1,2,,,,2,2,
HFFC-000143,aAZ9000000000CW,,,,,,,,1,,,,,,,,,,,,,,,,
HFFC-000145,aAZ9000000000CY,,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-000150,aAZ9000000000Cd,1,,,,,,2,,,,,,,,,,,,,,,,,
HFFC-000155,aAZ9000000000Ci,,,,3,1,1,4,4,,,,,,,,,,,,,,1,,
HFFC-000157,aAZ9000000000Ck,,,,2,1,,1,3,1,1,,,,1,,,,3,,,,5,3,3
HFFC-000160,aAZ9000000000Cn,3,4,6,6,7,2,7,7,8,6,6,4,6,12,11,6,3,11,5,7,4,1,,7
HFFC-000164,aAZ9000000000Cr,,,1,,,1,1,2,,,,,,,,,,,,,,,,
HFFC-000171,aAZ9000000000CY,19,8,10,3,9,3,13,13,6,4,3,20,22,12,12,16,18,19,1,4,25,24,9,1
HFFC-000172,aAZ9000000000Cz,24,19,19,39,4,5,8,17,21,20,34,11,19,14,17,19,3,8,4,2,9,8,5,22
HFFC-000173,aAZ9000000000D0,,,1,2,,,,,,,,,,,,1,,,,,,,,
HFFC-000176,aAZ9000000000D3,1,,,1,5,2,1,,,,,,,,,,,,,,,,,
HFFC-000178,aAZ9000000000D5,1,4,7,8,,,,,,1,2,,,1,1,5,,1,,,,,,
HFFC-000184,aAZ9000000000DB,2,2,1,2,1,,1,,,2,,,,,,,2,,1,,,1,,
HFFC-000187,aAZ9000000000DE,,,,,,,,,,,,,1,,,,,,,,,,,
HFFC-000192,aAZ9000000000DJ,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-000208,aAZ9000000000DZ,7,7,3,7,14,8,13,7,10,,15,9,12,3,5,11,16,2,10,6,3,8,14,11
HFFC-000217,aAZ9000000000EB,,,,,1,,1,,2,1,2,1,,,,,,,,,,,,
HFFC-000224,aAZ9000000000EK,2,3,1,1,,2,,3,1,5,,11,6,4,5,1,6,5,4,3,5,,1,3
HFFC-000226,aAZ9000000000EU,6,4,5,2,3,3,4,1,,1,3,1,2,3,2,,1,,,1,1,3,3,1
HFFC-000230,aAZ9000000000Eo,3,5,4,4,4,1,7,8,7,4,9,5,6,3,5,3,3,1,,1,,,,
HFFC-000231,aAZ9000000000Et,3,3,,7,4,,,2,1,4,3,3,2,,1,1,1,5,,,3,1,,
HFFC-000234,aAZ9000000000F8,3,1,1,3,,,2,,2,,1,1,,,,,,,,,,,,
HFFC-000237,aAZ9000000000FN,,,,,,1,,3,1,1,,,,,,,,,,,,1,,2
HFFC-000241,aAZ9000000000Fh,,,,,1,,,,,,,,,,,,,,,,2,1,2,
HFFC-000243,aAZ9000000000Fr,,2,,,,,,,,1,1,,,,,1,1,4,1,,1,2,,
HFFC-000247,aAZ9000000000GB,,,1,,1,,,,,,,,,,,,,,,,,,,
HFFC-000249,aAZ9000000000GL,,,,,,,2,,,,,,,,,,,,,,,,,
HFFC-000251,aAZ9000000000GV,2,3,,3,1,,2,1,,3,2,2,1,1,,,,3,2,,,1,,
HFFC-000253,aAZ9000000000Gf,1,1,,2,1,,,,,,,,,,,,,,,,,,,
HFFC-000257,aAZ9000000000Gz,,,,,,,1,1,4,2,,1,,,,,,,,,1,,,
HFFC-000270,aAZ9000000000I2,1,1,2,2,12,5,5,1,,,,,,,,,,,,,,,,
HFFC-000283,aAZ9000000000J5,,,,,1,,3,3,3,1,4,3,3,1,3,2,2,,,,,2,4,6
HFFC-000284,aAZ9000000000JA,31,15,12,27,10,1,5,15,14,3,,4,11,4,5,17,9,6,13,19,15,26,15,6
HFFC-000287,aAZ9000000000JP,,,,,1,,,1,,,,,,,,,,,,1,7,2,2,1
HFFC-000294,aAZ9000000000Jy,,,,,,,,,,,,,,,,,,,,,,3,6,5
HFFC-000295,aAZ9000000000K3,,,2,,3,,,,,,,,,,,,,,,,,,,
HFFC-000296,aAZ9000000000K8,,,,,1,,,2,,,,,,,,,,1,2,,,,,
HFFC-000297,aAZ9000000000KD,1,1,1,,,,,1,4,3,1,,1,,,,,,,,,,,
HFFC-000306,aAZ9000000000Kw,,,,,,,,,,,,5,,,,,,,,,,,,
HFFC-000307,aAZ9000000000L1,9,10,18,13,1,2,3,2,2,,7,2,3,5,4,1,4,4,2,1,,2,,
HFFC-000309,aAZ9000000000LB,3,,,,,,,,2,1,,2,3,,,1,,1,,,,,,
HFFC-000332,aAZ9000000000N2,,,,,,,,,,,,,,,,,,,,2,,,,
HFFC-000338,aAZ9000000000NW,,6,4,1,1,,2,5,,,2,2,1,3,3,,,4,1,3,1,2,1,
HFFC-000345,aAZ9000000000O5,3,5,4,1,1,,2,1,2,3,5,1,2,1,,,,,,,,,,
HFFC-000348,aAZ9000000000OK,8,6,2,1,,,,,,,,,,,,,,,,,,,,
HFFC-000349,aAZ9000000000OP,,,1,,,,1,,,,,,1,,,1,2,1,,,1,,,
HFFC-000352,aAZ9000000000Oe,,,,,1,,,,,,,,,,,,,,,,,,1,
HFFC-000353,aAZ9000000000Oj,1,1,1,,,,,6,4,,,,,,,,,,2,,,,,
HFFC-000354,aAZ9000000000Oo,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000361,aAZ9000000000PN,,,,,1,1,,,,,,,,,,,,,,,,,,1
HFFC-000365,aAZ9000000000Ph,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000369,aAZ9000000000Q1,,,,,,,,,,,,1,,,,,,,,,,,,
HFFC-000370,aAZ9000000000Q6,,,,,,,,,,,,,,,,,,1,4,,2,2,1,2
HFFC-000371,aAZ9000000000QB,,,,,,5,2,1,,,,,,,,,,,,,,,,
HFFC-000372,aAZ9000000000QG,2,6,1,4,2,,10,4,2,,,,,,,1,2,,,,,,,
HFFC-000380,aAZ9000000000Qu,,,,,,,,1,,,,,,,,,,,,,,,,
HFFC-000386,aAZ9000000000RO,9,8,11,9,5,6,4,9,7,6,5,8,6,6,5,8,9,6,2,2,5,3,2,7
HFFC-000393,aAZ9000000000Rx,4,1,2,2,,,3,3,,,,1,3,,1,,,,1,1,,,,
HFFC-000395,aAZ9000000000S7,5,6,9,2,6,3,6,6,2,5,8,2,3,9,4,5,2,4,9,3,2,7,2,3
HFFC-000408,aAZ9000000000TA,2,1,,2,2,3,2,4,1,3,,,,2,,,,,,,,,,
HFFC-000413,aAZ9000000000TZ,1,,2,1,,1,3,3,2,,,,,,,,,,,,,4,,
HFFC-000414,aAZ9000000000Te,2,6,4,5,8,3,8,1,2,1,2,2,2,1,,2,4,,,4,,2,,2
HFFC-000418,aAZ9000000000Ty,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-000431,aAZ9000000000V1,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000432,aAZ9000000000V6,,2,,1,,,1,,1,,,2,,,,,,,,,,,,
HFFC-000446,aAZ9000000000WE,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-000449,aAZ9000000000WT,,,,,,,,1,,,,,,,,,,,,,,,,
HFFC-000450,aAZ9000000000WY,,,,3,,,,,,,,,,,,,,,,,,,,
HFFC-000452,aAZ9000000000Wi,,6,7,3,4,,,1,4,,2,3,1,2,,,,,,,,,1,
HFFC-000470,aAZ9000000000YA,8,5,5,3,2,1,2,4,,1,1,,,,,,,,,,,,,
HFFC-000472,aAZ9000000000YK,,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-000475,aAZ9000000000YZ,,,,,,,,1,,1,,,,1,,,1,,,,,1,,
HFFC-000478,aAZ9000000000Yo,,,,,,,,,,,1,,,,,,,,,,,,,
HFFC-000479,aAZ9000000000Yt,,1,,,,,1,1,,,,,,,,1,,1,,,,,,1
HFFC-000480,aAZ9000000000Yy,1,,,2,,,,,,,,,,,,,,,,,,,,
HFFC-000486,aAZ9000000000ZS,,,,,,,1,,,,,,,,,,,,,,,,,
HFFC-000489,aAZ9000000000Zh,1,2,4,,,1,,1,,,,,,,,,,,,,,,,
HFFC-000497,aAZ9000000000aL,,,2,5,4,1,1,6,2,1,1,,,,,,,,,,,,,
HFFC-000517,aAZ9000000000bx,2,,2,2,,,1,,,1,,,1,,,,,,2,1,2,,,
HFFC-000521,aAZ9000000000cH,1,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-000523,aAZ9000000000Cr,,,,,,,,,,,,,,,,,,,1,,,,,
HFFC-000533,aAZ9000000000dF,2,2,2,1,1,1,1,,,,1,1,2,2,1,2,,1,2,,,,1,
HFFC-000540,aAZ9000000000do,3,5,5,,,,,,,,,,,,,,,,,,,,,
HFFC-000541,aAZ9000000000dt,,,,,,,,,,,,,5,,,,,,,,,,,
HFFC-000544,aAZ9000000000e8,,,,,,,,,,,,,,,,,,,,,,,,2
HFFC-000546,aAZ9000000000eI,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000550,aAZ9000000000ec,6,,6,3,,,,1,,3,1,,3,,1,,1,1,,,1,,,
HFFC-000553,aAZ9000000000er,,,,,,,,,,,,,,2,,,,,,,,,,
HFFC-000556,aAZ9000000000f6,,,,1,,1,1,,,,,,,,,,,,,,,,,
HFFC-000564,aAZ9000000000fk,1,1,10,6,,1,10,8,20,11,13,9,13,10,11,8,4,3,1,14,7,8,11,10
HFFC-000567,aAZ9000000000fz,1,4,1,2,3,,2,1,,,,1,3,,,,,,1,,,,,
HFFC-000571,aAZ9000000000gJ,,,,,,,,1,,,,,,,,,,,,2,2,2,,
HFFC-000572,aAZ9000000000gO,,,,,,,,,,,,,,,,1,,,,,1,,1,
HFFC-000574,aAZ9000000000gY,1,,,,,,,1,,,,,,,,,,1,,,,,,
HFFC-000580,aAZ9000000000h2,2,5,1,1,2,1,2,7,4,2,1,,2,3,5,5,5,1,5,2,2,6,1,1
HFFC-000584,aAZ9000000000hM,,1,,2,,,,,,,,,,,,,,,,,,,,
HFFC-000586,aAZ9000000000hW,3,,3,2,3,2,3,3,4,5,2,,2,,2,1,,,,,,1,3,5
HFFC-000590,aAZ9000000000hq,,,,,,,,1,,,,,,,,,,,,,,,,
HFFC-000598,aAZ9000000000iU,5,3,7,3,,,,,,,,,,,,,,,,,,,,
HFFC-000604,aAZ9000000000iy,,,,,,,2,,,,,,,,,,,,,,,,,
HFFC-000606,aAZ9000000000j8,,,,,,,,,,,,,,,,,,,,,,,2,1
HFFC-000611,aAZ9000000000jX,,,,,,,,,,,,,,,,,1,2,1,,,,,
HFFC-000614,aAZ9000000000jm,,,,,5,,2,1,,,,,,,,,,,,,,,,
HFFC-000619,aAZ9000000000kB,,,,,,,1,,,,,,,,,,,,,,,,,
HFFC-000644,aAZ9000000000mC,,,,,,,19,1,,,,,,,,,,,,,,,,
HFFC-000654,aAZ9000000000n0,,,,,,,,,,,,,,,,,,,,,,1,,1
HFFC-000661,aAZ9000000000nZ,5,3,5,2,3,,2,1,5,3,4,8,4,3,1,4,5,6,6,8,9,13,10,1
HFFC-000662,aAZ9000000000ne,,,,,2,1,1,,,,,,,,,,,,,,,,,
HFFC-000665,aAZ9000000000nt,,,,,,,1,,3,1,1,4,,,,,,,,3,,,,
HFFC-000666,aAZ9000000000ny,,,,,,,,1,,,,,,,,,,,,,,,,
HFFC-000672,aAZ9000000000oS,,,,,2,4,2,6,3,,,,,,,,,,,,,,,
HFFC-000674,aAZ9000000000oc,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-000675,aAZ9000000000oh,,,1,1,,,,,,,1,,,,,,,,,,,1,1,
HFFC-000695,aAZ9000000000qJ,,,1,,,,,,,,,1,1,,,,,,,,,,,
HFFC-000703,aAZ9000000000r2,3,7,1,,1,1,1,3,2,1,2,2,,2,5,2,2,2,1,3,3,2,1,1
HFFC-000705,aAZ9000000000rC,2,2,4,1,,,1,,3,1,,1,4,3,5,5,,1,2,1,,2,,2
HFFC-000713,aAZ9000000000rq,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-000719,aAZ9000000000sK,,,,,1,,,3,,,,,,,,,,,,,,,,
HFFC-000728,aAZ9000000000t8,,,,,,,,,,,,,1,2,,,,,,,,,,
HFFC-000738,aAZ9000000000tw,1,,1,,,,1,,1,,,,,2,,,,,,,,,,
HFFC-000742,aAZ9000000000uG,,,,,,,1,,,,,,,,,,,,,,,,,
HFFC-000744,aAZ9000000000uQ,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000746,aAZ9000000000ua,,,,,1,,,,,,,1,,,,,,,,,,,,
HFFC-000749,aAZ9000000000up,,,,,,,,2,2,2,,,,1,,,,,1,,1,,,
HFFC-000753,aAZ9000000000v9,3,9,8,14,3,2,8,6,7,6,4,9,17,8,2,4,3,9,4,8,6,3,1,5
HFFC-000755,aAZ9000000000vJ,8,1,2,,1,1,3,1,2,2,,5,12,10,,6,2,,1,,,9,27,27
HFFC-000766,aAZ9000000000wC,2,4,4,3,2,3,2,4,5,2,4,,1,2,2,2,3,,,1,,,,
HFFC-000769,aAZ9000000000wR,3,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000775,aAZ9000000000wv,1,2,,3,1,,1,,1,1,,1,,,,,,,,,,,,1
HFFC-000788,aAZ9000000000xy,1,1,3,7,3,1,7,2,2,1,2,6,6,4,5,6,,1,1,5,1,2,2,
HFFC-000791,aAZ9000000000yD,3,2,2,4,2,,2,1,1,4,1,1,,,,,,1,1,2,1,,,
HFFC-000798,aAZ9000000000ym,,,,,2,3,,,4,,,9,6,7,2,,2,,,,,1,,
HFFC-000800,aAZ9000000000yw,,1,,1,,,,,,,,,,,,,,,,,,,,
HFFC-000804,aAZ9000000000zG,3,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-000809,aAZ9000000000zf,5,1,1,,1,2,,,1,,1,1,,,,,1,,1,,1,,1,3
HFFC-000818,aAZ90000000010O,,,,,3,,,,,,,,,,,,,,,,,,,
HFFC-000822,aAZ90000000010i,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-000823,aAZ90000000010n,1,,,1,,,,1,6,2,3,,2,1,,,,1,1,,1,1,1,2
HFFC-000828,aAZ90000000011C,,4,,3,,,,2,2,3,1,,,,,,3,1,,,,,2,
HFFC-000849,aAZ90000000012t,,1,1,,1,1,1,1,1,,,1,,,,,,,,,,,,
HFFC-000852,aAZ900000000138,,,,,,,4,,,,,,,,,,,,,,,,,
HFFC-000858,aAZ90000000013c,,1,,,,,,,,,1,,,,,,,,,,,,,
HFFC-000859,aAZ90000000013h,,,,,,,,,,,,,,,,,2,1,2,,,,,
HFFC-000861,aAZ90000000013r,9,6,2,5,5,3,3,4,4,5,5,7,11,3,12,5,11,4,6,10,1,4,1,2
HFFC-000885,aAZ90000000015n,,,,,,7,3,,,,1,,,,,,1,,1,,2,,,
HFFC-000890,aAZ90000000016C,,,,,,,,,,,,1,1,,,1,,,,,,,,
HFFC-000906,aAZ90000000017U,,1,3,,1,2,,1,1,,,,,,,,,,,,,,,
HFFC-000907,aAZ90000000017Z,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000913,aAZ900000000183,,,1,,,,,1,,1,,,2,2,,3,1,,1,,,2,,1
HFFC-000914,aAZ900000000188,,,,,,,,,,,,,,,,,,,1,,,1,2,1
HFFC-000918,aAZ90000000018S,,,,,,,,,,,,,,,,,3,2,,,1,3,,1
HFFC-000955,aAZ9000000001BR,,,,,3,1,1,2,2,,,,1,,,,,,,,,5,6,1
HFFC-000956,aAZ9000000001BW,,,,,,,,10,10,1,1,,,,,,,,,,,,,
HFFC-000985,aAZ9000000001Dr,,,,,,,,,,1,,,,,,,,,,,,,,
HFFC-000989,aAZ9000000001EB,,,,,,,,,,,,4,1,,,,,,,,,,,
HFFC-000996,aAZ9000000001Ek,,,,7,,,1,,,,,,,,4,,,,,,,,,
HFFC-001006,aAZ9000000001FY,,1,,,,,,,1,,,,,,,,,,,,,,,
HFFC-001015,aAZ9000000001GH,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-001016,aAZ9000000001GM,1,1,,,6,1,2,,3,6,5,1,2,3,2,4,,,1,,3,8,9,13
HFFC-001035,aAZ9000000001Ht,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-001039,aAZ9000000001ID,,,,,,,,,,,,,,,,,,,,,1,,,
HFFC-001041,aAZ9000000001IN,1,1,,,,,1,,,,1,1,,2,1,,1,,,3,,2,2,5
HFFC-001052,aAZ9000000001JG,2,,1,1,,,,,1,,,,1,,1,,,,,,,1,,
HFFC-001068,aAZ9000000001KY,,,,,,,,2,,,,,,,,,,,,,,,,
HFFC-001071,aAZ9000000001Kn,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-001101,aAZ9000000001ND,,,,2,1,,3,1,,,,,,,,,,,,,,1,,
HFFC-001108,aAZ9000000001Nm,,,,,,,,,,1,,,,,,,,,,,,,,
HFFC-001109,aAZ9000000001Nr,,,,,,,,1,1,,,1,2,1,,,,,,,,,,
HFFC-001122,aAZ9000000001Ou,6,4,1,,,,,,,,,,,,,,,,,,,,,
HFFC-001133,aAZ9000000001Pn,,,,,,,1,,,,,,,,2,,,,,,,,,
HFFC-001144,aAZ9000000001Qg,,,,,,,,,,,,,,,,,,,,,,1,,1
HFFC-001150,aAZ9000000001RA,3,2,3,2,1,,2,3,2,2,,,,,,,,,,1,,2,,
HFFC-001165,aAZ9000000001SN,8,3,3,5,5,2,3,6,5,3,10,9,9,5,4,3,4,,,2,3,4,8,7
HFFC-001167,aAZ9000000001SX,,,3,4,,,,,,1,2,1,,,,,,,,,,,,
HFFC-001168,aAZ9000000001Sc,,,2,1,3,1,,,,,,,,,,,,,,,,,,
