Connector Code,Connector: Record ID,Connector: Source,Connector: Connector Activity,Connector: Connector Sub Category,Connector: Connector Category,Connector: Connector Type,Connector: App Registered,Oct-16,May-17,Oct-17,Dec-17,Jan-18,Feb-18,Mar-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
HFFC-024867,aAZ2j000000L2HV,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
HFFC-015246,aAZ2j00000004B8,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-023269,aAZ2j000000Kzck,Business Development,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
HFFC-024897,aAZ2j000000L2Jv,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,3
HFFC-022908,aAZ2j000000Kz6F,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,2,,,,,4
HFFC-003648,aAZ0o00000002jQ,Branch Walk-In,Active,,Financial Connectors,Other HFC/Bank employee,0,,,,,,,,,,,,,,,,1,2,2,1,2,1,2,2,,,,,1,,,,,,2,1,3,1,,1,,,,,,1,,,,,1,1,,,,,1,,,1,,4,2,9
HFFC-002166,aAZ90000000PEfP,Other,Dormant Connector,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,3,,1,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,
HFFC-014194,aAZ2j00000002p1,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-028795,aAZ5i000000LDWA,Business Development,Lead Stage,Multi brand Prime HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
HFFC-021829,aAZ2j0000000CfB,Connector App,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
