Connector Code,Id (Connector),Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
HFFC-022908,aAZ2j000000Kz6FGAS,,,,,,,,,,,,,,,,,,,2,1,,,,
HFFC-003648,aAZ0o00000002jQGAQ,,,,,,,,,,,,,,,,,,,,,,2,,1
HFFC-014194,aAZ2j00000002p1GAA,1,,,2,,,,,,,,2,,,,,,,,,,,,
HFFC-021852,aAZ2j0000000Ch2GAE,,,,,,,,1,1,,,,,,,,,,,,,,,
HFFC-023878,aAZ2j000000L0gJGAS,,,,,,,,,,,,,2,,,,,,,,,,,
HFFC-001413,aAZ90000000PDggGAG,,,,,,,,,,,,,,,,1,,,,,,,,
HFFC-000432,aAZ9000000000V6GAI,,2,,,,,,1,1,,,,2,1,,,,,,,,,,
HFFC-002258,aAZ90000000PEmpGAG,4,2,3,7,,,6,6,3,3,2,2,,2,1,3,1,,,,,,,
HFFC-002167,aAZ90000000PEfUGAW,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-020555,aAZ2j0000000AzxGAE,,,,,,,,1,1,,,,,,,,,,,,,,,
HFFC-021314,aAZ2j0000000BzZGAU,,,,,,,,2,,,,,,,,,,,,,2,,,
HFFC-011428,aAZ0o000000PN8qGAG,5,4,,,,,,2,,,,,,,,,,,,,1,,,
HFFC-003076,aAZ0o000000btRYGAY,1,,,,,,,1,1,3,1,,,4,,,,,,,,1,,
HFFC-016651,aAZ2j00000005zdGAA,1,,,,,,2,,,,,,,,,,,,,,,,,
HFFC-021485,aAZ2j0000000CDRGA2,,,,,,,,,2,,,,,,,,,,,2,,,,
HFFC-019131,aAZ2j00000009APGAY,,,,,,,,,,,,,,,1,1,,,,1,6,5,3,13
HFFC-017137,aAZ2j00000006bDGAQ,,,,,,,,,1,1,,2,,,,2,,,,,,,2,1
HFFC-019901,aAZ2j0000000AA1GAM,,,,,,,,,,,,,,,,,1,1,,,2,,,
HFFC-014021,aAZ2j00000002bdGAA,3,2,4,,3,,,,7,4,,,2,,,,,,,,,2,,
HFFC-017708,aAZ2j00000007KwGAI,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-000137,aAZ9000000000CQGAY,,,,,,,,,,,,,1,,,,,,,,,,,
HFFC-004158,aAZ0o000000PGYDGA4,,,,1,1,,2,,,,,,,,,,,,,,,,,
HFFC-029281,aAZ5i000000LFsoGAG,,,,,,,,,,,,,,,,,,,,,,2,1,1
HFFC-024249,aAZ2j000000L1M0GAK,,,,,,,,,,,,,,2,,,,2,,,,,,
HFFC-002020,aAZ90000000PETdGAO,,,,,,,,,2,2,,1,4,4,,2,,,,,,2,,
